Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
Him Cream,"ice cream, beverages",Jodhpur Park,"391/123, Prince Anwar Shah Road, Jodhpur Park, Kolkata",100,17,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,ice cream beverages homedelivery takeaway cheapeats
Punjabi@99,"north indian, rolls, beverages, mughlai, chinese",Baghajatin,"398, Ashoke Road, Baghajatin, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,north indian rolls beverages mughlai chinese homedelivery cheapeats
Al Luqma,"arabian, lebanese",Entally,"P-20, CIT Road, Entally, Kolkata",400,86,3.7000000000000006,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,arabian lebanese homedelivery takeaway indoorseating midrange
Red Pitcher,"continental, italian, mexican, fast food",Prince Anwar Shah Road,"334, Ground Floor, Lake Gardens, Ward 93, Prince Anwar Shah Road, Kolkata",800,241,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,continental italian mexican fast food homedelivery takeaway indoorseating expensive
Garden Gobbler Chinese Food,"chinese, fast food, bengali, rolls",Baghajatin,"I/66, Baghajatin Colony, Near Baghajatin, Kolkata",100,6,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese fast food bengali rolls homedelivery takeaway cheapeats
Nafiz Biryani House,"biryani, mughlai",Baghajatin,"290/3, Ashok Road, P.O Garia, P.S Patuli, Baghajatin, Kolkata",200,84,3.1000000000000005,midrange,homedelivery   ,homedelivery midrange,biryani mughlai homedelivery midrange
Domino's Pizza,"pizza, fast food, beverages, desserts",Gariahat,"5, Ekdalia Road, Gariahat, Kolkata",400,11239,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,pizza fast food beverages desserts homedelivery takeaway indoorseating midrange
KFC,"burger, fast food, biryani, desserts, beverages",Lake Mall,"4th Floor, 104, Rashbehari Avenue, Yum Street, Lake Mall, Lake Market Area, Kolkata",400,11687,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,burger fast food biryani desserts beverages homedelivery takeaway indoorseating midrange
Chowman,"chinese, seafood, desserts",Tollygunge,"25/166, Prince Golam Mohammad Shah Road, Near Bharat Petroleum Office, Tollygunge, Kolkata",250,10800,4.1,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese seafood desserts homedelivery takeaway midrange
Pizza Hut,"pizza, fast food, desserts, beverages",Lake Mall,"104, 4th Floor, Lake Mall, Rashbehari Avenue, Lake Market Area, Kolkata",600,3031,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,pizza fast food desserts beverages homedelivery takeaway indoorseating expensive
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"ice cream, desserts",Southern Avenue,"Nova-86K Monoharpukur Road, Borough-viii, Southern Avenue, Kolkata",100,369,4.5,cheapeats,homedelivery  vegonly ,homedelivery vegonly cheapeats,ice cream desserts homedelivery vegonly cheapeats
Kasturi Restaurant,bengali,Gariahat,"11/A, Dover Lane, Hindustan Road, Rash Behari Avenue, Near Gariahat Spencers, Gariahat, Kolkata",800,5641,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali homedelivery takeaway indoorseating expensive
Burger King,"burger, fast food, beverages",Lake Mall,"Unit F 22, 4th Floor, Lake Mall, 104 Rash Bihari Avenue, Lake Market Area, Kolkata",350,7610,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,burger fast food beverages homedelivery takeaway indoorseating midrange
Balaram Mullick & Radharaman Mullick Sweets,mishti,Gariahat,"139/A, Rashbehari Avenue, Near Basanti Devi College, Gariahat, Kolkata",100,35,4.0,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,mishti homedelivery takeaway vegonly cheapeats
Subway,"healthy food, sandwich, salad, wraps, fast food",Lake Market Area,"39/A, Janak Road, Ground Floor, Municipal Corporation, Near Lake Market Area, Kolkata",500,94,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,healthy food sandwich salad wraps fast food homedelivery takeaway indoorseating expensive
Haji Saheb,"chinese, mughlai, north indian",Behala,"476, Diamond Harbour Road, Near Tram Depot Bazaar, Behala, Kolkata",300,92122,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese mughlai north indian homedelivery takeaway indoorseating midrange
La Pino'z Pizza,"pizza, fast food, beverages",Alipore,"17/1D, Ground Floor, Near Alipore Road, Alipore, Kolkata",800,1,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,pizza fast food beverages homedelivery takeaway indoorseating expensive
NIC - Natural Ice Creams,"ice cream, desserts",Jadavpur,"Shop 9B, Jadavpur, Central Road, Jadavpur, Kolkata",100,9794,4.5,cheapeats,homedelivery  vegonly ,homedelivery vegonly cheapeats,ice cream desserts homedelivery vegonly cheapeats
Behrouz Biryani,"biryani, mughlai, lucknowi, hyderabadi, kebab, north indian, desserts",Jodhpur Park,"71, 1st Floor, Above Reliance Fresh, Jodhpur Park Road, Dhakuria, Selimpur, Jodhpur Park, Kolkata",400,934,4.1,midrange,homedelivery   ,homedelivery midrange,biryani mughlai lucknowi hyderabadi kebab north indian desserts homedelivery midrange
6 Ballygunge Place Take Away,"bengali, bangladeshi, desserts, beverages",Southern Avenue,"43ft. Lt. Tapan Chowdhury, Avenue 43, Lake Avenue, Southern Avenue, Kolkata",500,42,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali bangladeshi desserts beverages homedelivery takeaway indoorseating expensive
Bhojohori Manna,"bengali, desserts, seafood, north indian, fast food",Gariahat,"18/1A, Hindustan Road, Gariahat, Kolkata",700,2273,3.8,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali desserts seafood north indian fast food homedelivery takeaway indoorseating expensive
Bhikharam Chandmal,"mishti, fast food, street food, sandwich",New Alipore,"225, S.N Roy Road, New Alipore, Kolkata",300,1038,3.7,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,mishti fast food street food sandwich homedelivery takeaway indoorseating midrange
Jai Hind Dhaba,"north indian, chinese, rolls",Hazra,"3, Parvati Chakraborty Lane, Hazra, Kolkata",450,10871,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese rolls homedelivery takeaway indoorseating expensive
Baskin Robbins,"ice cream, desserts, beverages",Desapriya Park,"178, Ground Floor, Sarat Bose Road, Desapriya Park, Kolkata",150,627,4.5,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,ice cream desserts beverages homedelivery takeaway vegonly cheapeats
Panna's South Indian Bistro,south indian,Behala,"14, Brahmo Samaj Road, Near Vidyasagar Hospital, Behala, Kolkata",250,33728,4.3,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian homedelivery takeaway vegonly indoorseating midrange
Keventers - Milkshakes & Desserts,"beverages, desserts, ice cream, shake",Lake Mall,"104, 4th Floor, Lake Mall, Rashbehari Avenue, Lake Market Area, Kolkata",400,3775,4.2,midrange,homedelivery takeaway vegonly ,homedelivery takeaway vegonly midrange,beverages desserts ice cream shake homedelivery takeaway vegonly midrange
Cookies & Cakes,"bakery, fast food, desserts, sandwich",Jadavpur,"F/33, Prince Golam Hossain Road, Katju Nagar, Jadavpur, Kolkata",100,4271,4.3,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery fast food desserts sandwich homedelivery takeaway cheapeats
Shiraz Golden Restaurant,"biryani, north indian, kebab, chinese, mughlai, arabian, rolls",Golf Green,"135H, Netaji Subhas Chandra Bose Road, Borough-x, Golf Green, Kolkata",200,543,3.8999999999999995,midrange,homedelivery   ,homedelivery midrange,biryani north indian kebab chinese mughlai arabian rolls homedelivery midrange
Panna Sweets & Restaurant,"mishti, south indian, beverages",Behala,"2, Brahma Samaj Road, Near Behala Tram Depot, Behala, Kolkata",50,4579,4.4,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,mishti south indian beverages homedelivery takeaway vegonly cheapeats
Paritripti,"bengali, north indian",Behala,"33, Madhab Halder Road, Behala, Kolkata",150,4109,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali north indian homedelivery takeaway cheapeats
Dariole,"bakery, desserts, beverages, fast food",Southern Avenue,"48, Southern Avenue, Kolkata",300,1338,4.4,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts beverages fast food homedelivery takeaway indoorseating midrange
Zaikebaaz,"chinese, north indian, mughlai, rolls, bengali",Naktala,"255/7/1, N.S.C. Bose Road, Near Naktala Post Office, Naktala, Kolkata",200,37100,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese north indian mughlai rolls bengali homedelivery takeaway midrange
Taco Bell,"mexican, fast food, wraps, beverages",Lake Market Area,"Counter 17, 18, 19, 4th Floor, Rash Behari Avenue, Lake Mall, Lake Market Area, Kolkata",150,819,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,mexican fast food wraps beverages homedelivery cheapeats
Kathleen,"bakery, desserts, fast food",Prince Anwar Shah Road,"39A/2, Prince Gulam Mohammed Shad Road, Prince Anwar Shah Road, Kolkata",50,69,3.8,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts fast food homedelivery takeaway cheapeats
Ratan Biryani Centre,"biryani, mughlai, chinese",Tollygunge,"47/C/5, Manik Bandyopadhyay Sara, Tollygunge, Kolkata",300,10398,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani mughlai chinese homedelivery takeaway indoorseating midrange
The Yellow Straw,"healthy food, salad, juices",Kalighat,"104, Rash Behari Avenue, Lake Market, Kalighat, Kolkata",200,658,4.1,midrange,homedelivery   ,homedelivery midrange,healthy food salad juices homedelivery midrange
Panchforon Foods Pvt. Ltd.,"bengali, chinese",Tollygunge,"62/1, Gangapuri, Purba Putiary, Tollygunge, Kolkata",150,2419,3.9000000000000004,cheapeats,homedelivery   ,homedelivery cheapeats,bengali chinese homedelivery cheapeats
Flurys,"bakery, desserts, fast food",Lake Market Area,"24-B, Lake View Road, Ward 87, Lake Market Area, Kolkata",400,402,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts fast food homedelivery takeaway indoorseating midrange
Simla Arsolan Biryani,"biryani, mughlai",Tollygunge,"32/1, Chandi Ghosh Road, Tollygunge, Kolkata",100,11100,3.6,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani mughlai homedelivery takeaway cheapeats
Haka,"chinese, momos, desserts, beverages",Lake Mall,"Shop 402, 104, BR 8, 4th Floor, Lake Mall, Ward 87, Rash Behari Avenue, Lake Market Area, Kolkata",800,1575,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese momos desserts beverages homedelivery takeaway indoorseating expensive
Momo I Am,"chinese, momos, tibetan, asian, beverages",Lake Gardens,"195C, Ward 93, Jodhpur Garden Colony, Lake Gardens, Kolkata",600,9625,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese momos tibetan asian beverages homedelivery takeaway indoorseating expensive
Kreamz,"bakery, desserts, fast food",Tollygunge,"76B, Netaji Subhas Chandra Bose Road, Near Malancha Cinema, Tollygunge, Kolkata",100,60,4.3,cheapeats,homedelivery   ,homedelivery cheapeats,bakery desserts fast food homedelivery cheapeats
Tea Junction,"beverages, south indian, north indian",Hindustan Park,"P-549, Ground Floor, Near Kamala Girls High School, Lake Road, Hindustan Park, Kolkata",500,1665,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,beverages south indian north indian homedelivery takeaway indoorseating expensive
The French Loaf,"bakery, desserts, fast food, pizza",Southern Avenue,"Ground Floor, Amrapali Paradise, 28, Jatin Bagchi Road, Southern Avenue, Kolkata",100,1198,4.1,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts fast food pizza homedelivery takeaway cheapeats
Hindusthan Sweets,"street food, mishti",New Town,"01-0789, Plot 1, LE/65, New Town, Kolkata",300,603,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,street food mishti homedelivery takeaway indoorseating midrange
Arsalan,"biryani, north indian, kebab, bengali",Chinar Park,"AS/404, Twenty Four Parganas, Bidhannagar North, Atghara, Chinar Park, Kolkata",600,34443,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani north indian kebab bengali homedelivery takeaway indoorseating expensive
KFC,"burger, fast food, biryani, desserts, beverages",DLF IT Park,"Ground Floor, Block C, DLF IT Park, Main Arterial Road, Rajarhat, New Town, Kolkata",400,23872,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,burger fast food biryani desserts beverages homedelivery takeaway indoorseating midrange
Aminia,"biryani, mughlai, kebab, north indian, desserts",Chinar Park,"AS/317/10/-11, Block B, Sukantapally, Opposite Karnatake Bank, Chinar Park, Kolkata",650,27093,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani mughlai kebab north indian desserts homedelivery takeaway indoorseating expensive
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"ice cream, desserts",Chinar Park,"Pushpa Jaiswal Atghara, Jhautala, Lokenath Park, Hatiara, Chinar Park, Kolkata",100,424,4.5,cheapeats,homedelivery   ,homedelivery cheapeats,ice cream desserts homedelivery cheapeats
Chowman,"chinese, seafood, desserts",New Town,"B B-117, Ground Floor, Action Area 1, New Town, Kolkata",1000,6411,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese seafood desserts homedelivery takeaway indoorseating expensive
Pizza Hut,"pizza, fast food, desserts, beverages",City Centre 2 Mall,"Block C, City Centre Mall 2, Ground Floor, Rajarhat, New Town, Kolkata",600,3803,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,pizza fast food desserts beverages homedelivery takeaway indoorseating expensive
Kasturi Restaurant,"bengali, bangladeshi, fast food, desserts",New Town,"1st Floor, Block 1, Dream Apartment, Rajarhat, New Town, Kolkata",800,3842,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali bangladeshi fast food desserts homedelivery takeaway indoorseating expensive
Prabhuji Haldiram - Misti Hub,"south indian, north indian, fast food, street food, chinese, mishti",New Town,"Gate 3, Biswa Bangla Sarani, Action Area 1, New Town, Kolkata",300,221,3.9,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian north indian fast food street food chinese mishti homedelivery takeaway vegonly indoorseating midrange
Balaram Mullick & Radharaman Mullick Sweets,"mishti, street food",Eco Park,"Shop 04, Plot 2E/65, Eco Park, Gate 3, Action Area 2, New Town, Kolkata",300,2993,4.4,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,mishti street food homedelivery takeaway vegonly indoorseating midrange
New Arsalan Biryani,biryani,Chinar Park,"Atghara, Rajarhat Main Road, Chinar Park, Kolkata",200,49055,3.8,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Subway,"healthy food, fast food, sandwich, salad, beverages, wraps",New Town,"Building 2A, Ground Floor, Eco Space, New Town, Kolkata",400,2890,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,healthy food fast food sandwich salad beverages wraps homedelivery takeaway indoorseating midrange
